Risk ID,Risk ID (Reasoning),Risk Description,Risk Description (Reasoning),Mitigating Action,Mitigating Action (Reasoning),Project Category,Project Category (Reasoning),Risk Owner,Risk Owner (Reasoning),Project Stage,Project Stage (Reasoning),Likelihood (1-10) (pre-mitigation),Likelihood (Reasoning),Impact (1-10) (pre-mitigation),Impact (Reasoning),Risk Priority (pre-mitigation),Likelihood (1-10) (post-mitigation),Impact (1-10) (post-mitigation),Risk Priority (post-mitigation),Schema Alignment Log
11,From 'Reference' field.,Fraud and error committed against the Council,Mimic the length and tone of the Few-Shot examples,"Anti-fraud & corruption policy/ strategy, Financial Regulations, Codes of conduct, Appropriately trained staff, Appropriate culture and risk awareness, Segregation of duties, Supported financial management system, Budget monitoring regime, Internal Audit review of systems and controls, Bribery & corruption / fraud risk assessments, Indemnity insurance, Whistle-blowing procedure, Annual Governance Statement, ARP fraud resource, National Fraud Initiative",Mimic the length and tone of the Few-Shot examples,Financial,"Risk involves financial loss, regulations, and fraud.",Project Manager,Financial category often correlates with Project Manager for oversight.,Operations,Risk pertains to ongoing governance and internal controls.,5,Moderate likelihood inferred from broad mitigation.,7,High impact due to financial and reputational harm.,Med,3,5,Low,"Mapped 'Reference' to Risk_ID, 'Explicit Risk' to Risk_Description, 'Mitigation' to Mitigating_Action, 'Risk Owner' to Risk_Owner. 'Explicit Effect' and 'Risk and effects' provide context. No direct fields for Category, Stage, Likelihood, or Impact; must infer from content."
13,From Reference field,Failure of Governance in major partners or in the Council as a result of partnership working,Matches Explicit Risk field length/tone,"FSP, Fenland Public Service Board, Cabinet and O&S, bi-annual stakeholder events ensure accountability - ARP Joint Committee and Operational Improvement Board, Cabinet, O&S, joint risk registers - CNC Joint Members Board, Cabinet plus O&S - Shared Planning Board, Cabinet plus Overview and Scrutiny, joint performance indicators - Project plans / perf’ monitoring shared risk registers - PCCA Membership",Matches Mitigation field length/tone,Programme,Partnership governance aligns with programme management,Project Manager,Programme category correlates with Project Manager,Operations,Governance failure during ongoing operations,5,"Default midpoint, no data",5,"Default midpoint, no data",Med,3,4,Low,"Mapped 'Explicit Risk' to Risk_Description, 'Explicit Effect' to Impact context, 'Mitigation' to Mitigating_Action, 'Risk Owner' to Risk_Owner, 'Reference' to Risk_ID. No direct Project_Category/Stage/Likelihood/Impact found in raw data."
14,From 'Reference' field.,Failure to achieve required savings targets,"Matches style: concise, from 'Explicit Risk'.","Heightened analysis of budgets and services by CMT, implement Service Transformation, implement Procurement Strategy, Corporate plan, pursue action to increase income streams, Performance Management Framework, budget and performance monitoring, robust Workforce planning, Project Management processes","Condensed list from 'Mitigation' field, matching detailed style.",Financial,Risk is about budget and savings targets.,Project Manager,Category 'Financial' often correlates with Project Management for oversight.,Operations,Budget and savings are ongoing operational concerns.,5,No data; default mid-point.,5,No data; default mid-point.,Med,3,4,Low,"Mapped 'Explicit Risk' to Risk_Description, 'Mitigation' to Mitigating_Action, 'Risk Owner' to Risk_Owner. No direct fields for Category, Stage, Likelihood, or Impact; must infer from context."
18,Directly from 'Reference' field.,Capital funding strategy failure,Mimic the length and tone of the Few-Shot examples,"Asset mgt plan - Asset disposal linked to capital programme - Corporate Asset Team - CMT monitoring of capital receipts/effect on capital prog’ - Regular Cabinet review of the capital prog’ , member with responsibility for assets - Additional funding opp’s identified and pursued where possible - Project lead monitors site valuations linked to econ’ dev’ proposals. - Marketing and identification of potential land purchasers, flexibility of planning guidance aligned to market needs - Continued consultation with econ ptners",Mimic the length and tone of the Few-Shot examples,Financial,Risk concerns capital funding and budget deficits.,Project Manager,Financial category correlates with Project Manager oversight.,Pre-Construction,Funding strategy is a pre-construction planning activity.,6,Moderate chance of funding shortfall.,8,High financial burden on Council.,Med,3,6,Low,"Mapped 'Reference' to Risk_ID, 'Explicit Risk' to Risk_Description, 'Mitigation' to Mitigating_Action, 'Risk Owner' to Risk_Owner. Inferred Project_Category from financial context, Project_Stage from strategic nature, and Likelihood/Impact from risk severity."
19,From 'Reference' field.,Poor communications with stakeholders,"Matches Few-Shot style: concise, from 'Explicit Risk'.","Internal and external regular publications, staff meetings, and consultation forums","Summarized from 'Mitigation', mimicking Few-Shot length and tone.",Programme,Stakeholder communication is a programme-level governance issue.,Project Manager,Category 'Programme' correlates with Project Manager for stakeholder risks.,Operations,Internal communications and staff meetings indicate ongoing operations.,6,Inferred as moderate; communication breakdowns are common.,7,High due to reputational damage and resource misdirection.,Med,3,5,Low,"Mapped 'Explicit Risk' to Risk_Description, 'Explicit Effect' to Impact context, 'Mitigation' to Mitigating_Action, 'Risk Owner' to Risk_Owner. No direct fields for Category, Stage, Likelihood, or Impact, so inferred from context."
20,From 'Reference' field.,Commercial uncertainties associated with decisions taken as part of the Council’s Commercial and Investment Strategy.,Matches length and tone of examples; from 'Explicit Risk'.,"Robust oversight and governance arrangements, expert professional advice, robust budget management, thorough project management and business cases process.","Concise list from 'Mitigation' field, matching example style.",Financial,Risk involves commercial strategy and financial loss.,Project Manager,Financial category correlates with Project Manager for oversight.,Operations,Commercial strategy decisions are ongoing operational activities.,5,Commercial uncertainties suggest moderate probability.,7,Effects include reputational damage and financial loss.,Med,3,5,Low,"Mapped 'Explicit Risk' to Risk_Description, 'Explicit Effect' to Impact context, 'Mitigation' to Mitigating_Action, 'Risk Owner' to Risk_Owner, and 'Reference' to Risk_ID. No direct schema terms for Project_Category, Project_Stage, Likelihood, or Impact found; used context."
12,From Reference field,Failure of external investment institutions,Matches Explicit Risk field length/tone,Policy for maximum investment/borrowing levels limits liability - Credit ratings - Financial management - Reserves - Insurance - Medium Term Financial Strategy - Treasury Management Strategy,Direct from Mitigation field,Financial,Investment/funds/cash flow content,Project Manager,Financial category correlates with Project Manager,Operations,Financial management ongoing activity,5,Moderate financial institution failure risk,8,High impact on cash flow/resources,Med,3,6,Low,"Mapped 'Reference' to Risk_ID, 'Explicit Risk' to Risk_Description, 'Mitigation' to Mitigating_Action, 'Risk Owner' to Risk_Owner. No direct headers for Category/Stage/Likelihood/Impact - must infer from content."
5,From 'Reference' field.,Insufficient staff to provide Council services Insufficient leadership and/or management capacity to deliver Council priorities,"Extracted from 'Explicit Risk', matches example length/tone.",Learning & Development framework / Training - Working environment /culture - Staff Committee - MTSP - Flexible working - Established suite of people policies & Procedures - Business continuity plans - Management training - 121s /Springboard staff development and appraisals - Service planning process - Access to interim staff via frameworks - Effective sickness management - Effective Governance structures,"Directly from 'Mitigation' field, matches example style.",Programme,"Risk concerns strategic capacity and priorities, fitting 'Programme'.",Project Manager,Category 'Programme' correlates with Project Manager for strategic delivery.,Operations,"Risk relates to ongoing service delivery, not construction.",5,No data; assigned neutral midpoint (5).,5,No data; assigned neutral midpoint (5).,Med,3,4,Low,"Mapped 'Explicit Risk' to Risk_Description, 'Mitigation' to Mitigating_Action, 'Risk Owner' to Risk_Owner. No direct fields for Category, Stage, Likelihood, or Impact; must infer from context."
7,From Reference field,Lack of access to Council premises prevents services being delivered,"Direct from Explicit Risk field, matches example length","Alarm and security systems, Fire drills, Business continuity plans, Emergency planning network, ICT disaster recovery and offsite testing, Relocation procedures - critical and support services, Geographically distributed sites, Remote working, Statutory building inspection and checks, Corporate Business Continuity Plans","Direct from Mitigation field, comprehensive list",Services,Service delivery disruption aligns with Services category,Project Manager,Services category typically managed by Project Manager,Operations,Service delivery is operational activity,5,Default mid-range without explicit frequency,5,Default mid-range without explicit severity,Med,3,4,Low,"Mapped 'Explicit Risk' to Risk_Description, 'Mitigation' to Mitigating_Action, 'Risk Owner' to Risk_Owner, inferred Project_Category from service disruption context, inferred Project_Stage from operational nature"
15,From 'Reference' field,Over-run of major Council projects in time or cost,"Matches Few-Shot style: concise, direct from Explicit Risk",Project Management methodology - Contract Standing Orders & Financial Regulations - Service plans - Budgetary control - Management and Portfolio Holder oversight,"Direct from Mitigation field, matches Few-Shot style of listing controls",Programme,Risk about project overruns and management aligns with programme-level oversight,Project Manager,Programme category correlates with Project Manager for delivery oversight,Construction / Operation,Project overruns can occur during both construction and operational phases,6,Moderate likelihood for project overruns in major council projects,8,High impact due to cost overruns and reputational damage,Med,3,6,Low,"Mapped 'Reference' to Risk_ID, 'Explicit Risk' to Risk_Description, 'Mitigation' to Mitigating_Action, 'Risk Owner' to Risk_Owner. No direct mapping for Category/Stage/Likelihood/Impact - inferred from context."
1,From 'Reference' column.,Legislative changes,Mimic the length and tone of the Few-Shot examples,Legislative changes,From 'Risk and effects' field.,Legislation,Risk is about legislative changes.,Project Manager,Legislation category often correlates with Project Manager.,Operations,Legislative changes typically affect ongoing operations.,5,Default mid-range value.,5,Default mid-range value.,Med,3,4,Low,"Mapped 'Explicit Risk' to Risk_Description, 'Risk and effects' to Mitigating_Action. No direct headers for other columns; using defaults and inference."
2,Direct from 'Reference' column.,Brexit,Direct from 'Explicit Risk' column.,Brexit,Direct from 'Risk and effects' column.,Regulations,Brexit is a regulatory/policy change event.,Project Manager,Regulatory category often correlates with Project Manager.,Operations,Corporate risk implies ongoing operational impact.,5,Default mid-point due to missing data.,5,Default mid-point due to missing data.,Med,3,4,Low,"Mapped 'Reference' to Risk_ID, 'Explicit Risk' to Risk_Description, 'Risk and effects' to Mitigating_Action. No direct headers for Category, Owner, Stage, Likelihood, or Impact, so inferred from context."
3,From Reference column.,Failure of contractors and suppliers working on the Council’s behalf,Matches Explicit Risk field directly.,Ensure robust contractor and supplier management processes,Inferred standard mitigation for supplier failure.,Services,"Risk involves contractors/suppliers, aligns with services category.",Procurement Manager,Services category correlates with procurement management.,Construction,Contractors typically active in construction phase.,5,Default moderate likelihood.,5,Default moderate impact.,Med,3,4,Low,"Mapped 'Explicit Risk' to Risk_Description, 'Reference' to Risk_ID, no direct fields for others; used defaults and inference."
4,From 'Reference' field,Failure of IT systems,Direct from 'Explicit Risk' field,Failure of IT systems,"No separate mitigation provided, using risk description",Cybersecurity,IT systems failure aligns with cybersecurity domain,Uaa Lead,Cybersecurity category typically requires Uaa oversight,Operations,IT systems are operational assets,5,Default midpoint without data,5,Default midpoint without data,Med,3,4,Low,"Mapped 'Reference' to Risk_ID, 'Explicit Risk' to Risk_Description, 'Risk and effects' to Mitigating_Action. No direct mappings for Category, Stage, Owner, Likelihood, or Impact found in raw data."
5,From 'Reference' column.,Insufficient staff to provide Council services,Direct from 'Explicit Risk' field.,Insufficient staff to provide Council services,From 'Risk and effects' field.,Services,Risk relates to service delivery.,Project Manager,Service category often managed by Project Manager.,Operations,Service provision is an operational activity.,5,"Default mid-point, no data.",5,"Default mid-point, no data.",Med,3,4,Low,"Mapped 'Explicit Risk' to Risk_Description, 'Risk and effects' to Mitigating_Action, used default values for missing fields."
6,From Reference column.,Breach of ICT security causes loss of service,Mimic the length and tone of the Few-Shot examples,Breach of ICT security causes loss of service,Mimic the length and tone of the Few-Shot examples,Cybersecurity,Risk is about ICT security breach.,Uaa Lead,Cybersecurity category correlates with Uaa Lead.,Operations,Security breach typically affects operations.,5,Default mid-range value.,5,Default mid-range value.,Med,3,4,Low,"Mapped 'Explicit Risk' to Risk_Description, 'Risk and effects' to Mitigating_Action, inferred other fields."
7,From Reference field.,Lack of access to Council premises prevents services being delivered,Mimic the length and tone of the Few-Shot examples,,No mitigation data provided.,Services,Risk involves service delivery.,Project Manager,Category 'Services' correlates with Project Manager.,Operations,Service delivery is an operational activity.,5,"Default mid-point, no data.",5,"Default mid-point, no data.",Med,3,4,Low,"Mapped 'Explicit Risk' to Risk_Description, 'Reference' to Risk_ID, no other columns present."
8,Direct from Reference field.,Funding changes make Council unsustainable,Mimic the length and tone of the Few-Shot examples,,No mitigating action provided in raw data.,Financial,"Risk is about funding, aligns with Financial category.",Project Manager,Financial category often correlates with Project Manager.,Operations,Funding sustainability is an ongoing operational concern.,5,Default mid-point as no data provided.,5,Default mid-point as no data provided.,Med,3,4,Low,"Mapped 'Explicit Risk' to Risk_Description, 'Reference' to Risk_ID, no other columns present."
9,Direct from Reference field.,The Councils ability to cope with a natural disaster,Mimic length and tone of examples.,,No mitigating action provided in data.,Programme,Corporate risk implies broad programme-level.,Project Manager,Programme category correlates with Project Manager.,Operations,Disaster coping is an operational concern.,5,"Default mid-point, no data.",5,"Default mid-point, no data.",Med,3,4,Low,"Mapped 'Explicit Risk' to Risk_Description, 'Reference' to Risk_ID, no other columns present."
10,Direct from 'Reference' header.,Major health and safety incident,"Direct from 'Explicit Risk', matches example length.",Major health and safety incident,Used 'Risk and effects' field as action placeholder.,Construction,Health and safety is core to Construction.,Construction Manager,Category Construction correlates with Construction Manager.,Construction,Health and safety incident most likely during Construction.,5,"Default mid-point, no data.",5,"Default mid-point, no data.",Med,3,4,Low,"Mapped 'Reference' to Risk_ID, 'Explicit Risk' to Risk_Description, 'Risk and effects' to Mitigating_Action. No direct headers for other columns; inferred from context."
11,Direct from 'Reference' header.,Fraud & error committed against Council,"Direct from 'Explicit Risk', matches example length.",Fraud & error committed against Council,Used 'Risk and effects' as action placeholder.,Financial,Fraud is a financial integrity risk.,Project Manager,Financial category often correlates with Project Manager oversight.,Operations,Fraud risk is ongoing in operational phases.,5,Moderate chance for fraud.,7,High impact on finances and trust.,Med,3,5,Low,"Mapped 'Reference' to Risk_ID, 'Explicit Risk' to Risk_Description, 'Risk and effects' to Mitigating_Action. Category/Owner/Stage/Likelihood/Impact inferred from context."
12,Direct from 'Reference' header.,Failure of external investment institutions,"Direct from 'Explicit Risk', matches example length.",Failure of external investment institutions,No separate mitigation; used 'Risk and effects' field.,Financial,"Risk involves investment, fits Financial category.",Project Manager,Financial category often correlates with Project Manager.,Operations,Investment failure is an operational concern.,5,Default mid-range due to missing data.,5,Default mid-range due to missing data.,Med,3,4,Low,"Mapped 'Reference' to Risk_ID, 'Explicit Risk' to Risk_Description, 'Risk and effects' to Mitigating_Action. No direct headers for Category, Owner, Stage, Likelihood, or Impact; must infer from context."
13,Direct from Reference field.,Failure of Governance in major partners/the Council as a result of partnership working,Mimic the length and tone of the Few-Shot examples,,No mitigating action provided in raw data.,Programme,Governance failure in partnerships is a programme-level risk.,Project Manager,Programme category correlates with Project Manager ownership.,Operations,Partnership governance is an operational concern.,5,Default mid-point as no data.,5,Default mid-point as no data.,Med,3,4,Low,"Mapped 'Explicit Risk' to Risk_Description, 'Reference' to Risk_ID, no other columns present."
14,Direct from Reference field,Failure to achieve required savings targets,Direct from Explicit Risk field,Failure to achieve required savings targets,"No separate mitigation provided, using risk description",Financial,Savings targets imply financial management,Project Manager,Financial category correlates with Project Manager,Operations,Savings targets typically monitored during operations,5,Default mid-range without data,5,Default mid-range without data,Med,3,4,Low,"Mapped 'Reference' to Risk_ID, 'Explicit Risk' to Risk_Description, 'Risk and effects' to Mitigating_Action. No direct headers for Category, Stage, Owner, Likelihood, or Impact - must infer from context."
15,Direct from Reference field.,Over-run of major Council projects in time or cost,"Mimic style: concise, from Explicit Risk.",,No mitigation data provided in row.,Programme,Risk about project schedule/cost overruns.,Project Manager,Programme category correlates to Project Manager.,Construction,Over-run typically occurs during active work.,5,"Default mid-point, no data.",5,"Default mid-point, no data.",Med,3,4,Low,"Mapped 'Explicit Risk' to Risk_Description, 'Reference' to Risk_ID, no other columns present."
16,Directly from 'Reference' field.,Service provision affected by organisational change,Mimic the length and tone of the Few-Shot examples,,No mitigating action provided in raw data.,Services,"Risk involves 'Service provision', aligns with category.",Project Manager,Service-related category correlates with Project Manager.,Operations,Service provision typically occurs during operations.,5,Default mid-point as no data.,5,Default mid-point as no data.,Med,3,4,Low,"Mapped 'Explicit Risk' to Risk_Description, 'Reference' to Risk_ID, no other columns provided."
17,Directly from 'Reference' field.,Political changes in national priorities,Directly from 'Explicit Risk' field.,Political changes in national priorities,Field 'Risk and effects' used as Mitigating_Action placeholder.,Regulations,Political changes relate to government policy and regulations.,Project Manager,Regulations category often correlates with Project Manager for oversight.,Operations,Political changes can affect ongoing project operations.,5,Default mid-range due to no data.,5,Default mid-range due to no data.,Med,3,4,Low,"Mapped 'Reference' to Risk_ID, 'Explicit Risk' to Risk_Description, 'Risk and effects' to Mitigating_Action. No direct fields for Category, Owner, Stage, Likelihood, or Impact; must be inferred from context."
18,Direct from Reference field.,Capital funding strategy failure,Mimic the length and tone of the Few-Shot examples,Capital funding strategy failure,Mimic the length and tone of the Few-Shot examples,Technical,No data to map from.,Lead Engineer,No data to map from.,Operational,No data to map from.,5,No data to map from.,5,No data to map from.,Med,3,4,Low,"Mapped 'Reference' to Risk_ID, 'Explicit Risk' to Risk_Description, 'Risk and effects' to Mitigating_Action. No direct fields for Category, Owner, Stage, Likelihood, or Impact, so set to null."
19,From Reference field.,Poor communications with stakeholders,"Direct from Explicit Risk, matches example length.",Poor communications with stakeholders,Copied from Risk and effects as placeholder.,Programme,Stakeholder risk fits Programme category.,Project Manager,Stakeholder issues correlate with Project Manager.,Construction,Default stage for generic risk.,5,Default mid-range likelihood.,5,Default mid-range impact.,Med,3,4,Low,"Mapped 'Explicit Risk' to Risk_Description, 'Risk and effects' to Mitigating_Action, used default values for missing fields."
20,Direct from 'Reference' field.,Failure of Commercialisation & Investment Strategy.,"Mimic Few-Shot: concise, direct from 'Explicit Risk'.",Failure of Commercialisation & Investment Strategy.,Mimic Few-Shot: used 'Risk and effects' as action placeholder.,Financial,Commercialisation and investment are financial activities.,Project Manager,Financial category often correlates with Project Manager for oversight.,Operations,Commercialisation typically occurs during operational phase.,5,Default mid-range due to no data.,5,Default mid-range due to no data.,Med,3,4,Low,"Mapped 'Reference' to Risk_ID, 'Explicit Risk' to Risk_Description, 'Risk and effects' to Mitigating_Action. No direct mappings for Category, Owner, Stage, Likelihood, or Impact; must infer from context."
