Risk ID,Risk ID (Reasoning),Risk Description,Risk Description (Reasoning),Mitigating Action,Mitigating Action (Reasoning),Project Category,Project Category (Reasoning),Risk Owner,Risk Owner (Reasoning),Project Stage,Project Stage (Reasoning),Likelihood (1-10) (pre-mitigation),Likelihood (Reasoning),Impact (1-10) (pre-mitigation),Impact (Reasoning),Risk Priority (pre-mitigation),Likelihood (1-10) (post-mitigation),Impact (1-10) (post-mitigation),Risk Priority (post-mitigation),Schema Alignment Log
75,Direct extraction from Risk ID field,Weather delays,Mimic few-shot: concise risk description,Contractor to provide impact and allowances via contract,Direct extraction from Mitigation field,Construction,"From strict set, matches Risk Category",Project Manager,"From strict set, Construction category correlates with Project Manager",Construction,"From strict set, matches Project Stage",8,Direct extraction from Likelihood field,5,Direct extraction from Impact field,Med,4,4,Low,"Mapped 'Risk Category' to Project_Category, 'Project Stage' to Project_Stage, 'Mitigation' to Mitigating_Action, kept Likelihood and Impact as-is"
76,Direct extraction from Risk ID field,Underpinning/ crack repairs by third parties,Matches few-shot style: concise risk description,"Detailed dilapidations surveys, crack monitors",Matches few-shot style: specific technical actions,Design,"From Risk Category field, matches strict set",Structural Engineer,Category Design correlates with Structural Engineer,Construction,"From Project Stage field, matches strict set",3,Direct extraction from Likelihood field,8,Direct extraction from Impact field,Med,1,6,Low,"Mapped 'Risk Category' to 'Project_Category', 'Project Stage' to 'Project_Stage', 'Mitigation' to 'Mitigating_Action'"
77,Direct extraction from 'Risk ID: 77',Ground conditions - Borehole survey depth insufficient,"Matches few-shot style: concise, technical issue","Additional bore hole surveys undertaken, no foundations / obstructions found albeit at relatively shallow depth. (near tower) Bullivants / Arup to review surveys and confirm they are happy with findings. Vinci to design piling to new structures and confirm site information held is adequate.",Matches few-shot style: detailed technical mitigation steps,Surveys,'Risk Category: Surveys' maps directly to strict set,Lead Engineer,Category 'Surveys' correlates with technical owner,Pre-Construction,'Project Stage: Pre-construction' maps to strict set,5,Direct extraction from 'Likelihood (1-10): 5',5,Direct extraction from 'Impact (1-10): 5',Med,3,4,Low,"Raw headers match standard targets directly: 'Risk ID', 'Risk Description', 'Project Stage', 'Risk Category', 'Likelihood (1-10)', 'Impact (1-10)', 'Risk Owner', 'Mitigation'."
80,Directly from raw data.,Instability to boundary wall following demolition,Mimic the length and tone of the Few-Shot examples,Assessment of wall structure required - Scope of works to be determined,Mimic the length and tone of the Few-Shot examples,Design,From raw 'Risk Category'.,Structural Engineer,Category 'Design' correlates with technical owner.,Construction,From raw 'Project Stage'.,5,Directly from raw data.,3,Directly from raw data.,Low,3,2,Low,"Mapped 'Risk Category' to Project_Category, 'Project Stage' to Project_Stage, 'Mitigation' to Mitigating_Action. 'Likelihood' and 'Impact' already standard."
81,Direct extraction from 'Risk ID' field.,Clashes between the existing building foundations and proposed drainage network.,"First sentence captures core risk, matching few-shot style.",Trial holes could be undertaken to better understand the existing foundations.,"First mitigation action, concise like examples.",Surveys,Direct match from 'Risk Category' to strict set.,Lead Engineer,Category 'Surveys' correlates with technical/engineering owner.,Construction,Direct match from 'Project Stage' to strict set.,5,Direct extraction from 'Likelihood (1-10)' field.,3,Direct extraction from 'Impact (1-10)' field.,Low,3,2,Low,"Mapped 'Risk Category' to 'Project_Category', 'Project Stage' to 'Project_Stage', 'Mitigation' to 'Mitigating_Action'. 'Likelihood' and 'Impact' columns already standard."
82,Directly extracted from 'Risk ID'.,Potential drainage clash with proposed lift shaft pits,"Mimics concise, technical style of examples.",Trial hole dug in the location and appears to be clear - risk to be reviewed again once demolition of north annex is complete.,"Directly from 'Mitigation', matches descriptive style.",Surveys,"From 'Risk Category', matches strict set.",Lead Engineer,Category 'Surveys' correlates with technical owner.,Construction,"From 'Project Stage', matches strict set.",1,Directly from 'Likelihood (1-10)'.,5,Directly from 'Impact (1-10)'.,Low,1,4,Low,"Mapped 'Risk Category' to Project_Category, 'Project Stage' to Project_Stage, 'Mitigation' to Mitigating_Action. 'Likelihood' and 'Impact' already standard."
83,Direct extraction from Risk ID field,Billing omissions or inaccuracies in BoQ,Mimic the length and tone of the Few-Shot examples,T&T have carried out reviews of the BoQ,Mimic the length and tone of the Few-Shot examples,Financial,"Risk Category is Financial, matches strict set",Project Manager,Financial category correlates with Project Manager,Pre-Construction,Pre-construction maps to Pre-Construction,6,Direct extraction from Likelihood field,8,Direct extraction from Impact field,Med,3,6,Low,"Mapped 'Risk Category' to Project_Category, 'Project Stage' to Project_Stage, 'Likelihood (1-10)' to Likelihood, 'Impact (1-10)' to Impact, 'Mitigation' to Mitigating_Action"
84,Directly extracted from raw data.,Additional works not covered by contract documents. Arising from opening up works / scope and extent of works greater than assumed etc.,Mimic the length and tone of the Few-Shot examples.,Detailed change management process to be followed.,Mimic the length and tone of the Few-Shot examples.,Financial,"Category from strict set, matches raw 'Risk Category'.",Project Manager,Category 'Financial' correlates with commercial/management Owner.,Construction,"Stage from strict set, matches raw 'Project Stage'.",10,Directly extracted from raw data.,8,Directly extracted from raw data.,High,6,6,Med,"Mapped 'Risk Category' to Project_Category, 'Project Stage' to Project_Stage, 'Mitigation' to Mitigating_Action. 'Likelihood' and 'Impact' already standard."
85,Direct extraction from Risk ID field,"Ongoing movement in the south range, given the removal of underpinning from the scheme",Matches few-shot style: concise technical description,Monitoring during works,Matches few-shot style: brief action-oriented phrase,Design,"From Risk Category field, matches strict set",Structural Engineer,Design category correlates with Structural Engineer,Construction / Operation,"From Project Stage field, matches strict set",3,Direct extraction from Likelihood field,6,Direct extraction from Impact field,Low,1,4,Low,"Mapped 'Risk Category' to Project_Category, 'Project Stage' to Project_Stage, 'Mitigation' to Mitigating_Action, kept Likelihood/Impact as-is"
87,Direct extraction from raw data,"Design change due to level of development and coordination at the point of tender, for items such as North Annex chimney, retaining walls and stairs, and movement joints to existing structures","Matches few-shot style: concise, specific technical details",Coordination to be managed by design team as a priority - Design changes to retaining concrete wall has been instructed by CYC and should be underway by design team.,"Direct extraction, matches mitigation action style",Design,"From strict set, matches raw 'Risk Category'",Design Manager,"From strict set, correlates with Design category",Pre-Construction,"From strict set, matches raw 'Pre-construction'",3,Direct extraction from raw data,3,Direct extraction from raw data,Low,1,2,Low,"Mapped 'Risk Category' to 'Project_Category', 'Project Stage' to 'Project_Stage', 'Mitigation' to 'Mitigating_Action'. 'Likelihood' and 'Impact' already standard."
88,Directly from 'Risk ID' field.,Council chamber cooling to be approved,"Mimic few-shot style: concise, from 'Risk Description'.",Design team to coordinate with planning / conservation,Mimic few-shot style: direct from 'Mitigation'.,Design,'Design' is in the strict set.,Design Manager,Category 'Design' correlates with 'Design Manager'.,Commissioning,'Commissioning' is in the strict set.,3,Directly from 'Likelihood (1-10)' field.,5,Directly from 'Impact (1-10)' field.,Low,1,4,Low,"Mapped 'Risk Category' to Project_Category, 'Project Stage' to Project_Stage, 'Likelihood (1-10)' to Likelihood, 'Impact (1-10)' to Impact, 'Mitigation' to Mitigating_Action."
